GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALXZE001,NAME_M,ALXZM001
"G1700690","2015-2019","IL",,,"Illinois","17","Hardin County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17069",,,"Hardin County, Illinois",67702,"Hardin County, Illinois",9445
"G1700710","2015-2019","IL",,,"Illinois","17","Henderson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17071",,,"Henderson County, Illinois",60380,"Henderson County, Illinois",4608
"G1700730","2015-2019","IL",,,"Illinois","17","Henry County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17073",,,"Henry County, Illinois",76108,"Henry County, Illinois",2707
"G1700750","2015-2019","IL",,,"Illinois","17","Iroquois County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17075",,,"Iroquois County, Illinois",67162,"Iroquois County, Illinois",2930
"G1700770","2015-2019","IL",,,"Illinois","17","Jackson County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17077",,,"Jackson County, Illinois",59480,"Jackson County, Illinois",4844
"G1700790","2015-2019","IL",,,"Illinois","17","Jasper County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17079",,,"Jasper County, Illinois",67524,"Jasper County, Illinois",5362
"G1700810","2015-2019","IL",,,"Illinois","17","Jefferson County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17081",,,"Jefferson County, Illinois",62066,"Jefferson County, Illinois",2463
"G1700830","2015-2019","IL",,,"Illinois","17","Jersey County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17083",,,"Jersey County, Illinois",84489,"Jersey County, Illinois",4101
"G1700850","2015-2019","IL",,,"Illinois","17","Jo Daviess County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17085",,,"Jo Daviess County, Illinois",74935,"Jo Daviess County, Illinois",3703
"G1700870","2015-2019","IL",,,"Illinois","17","Johnson County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17087",,,"Johnson County, Illinois",63421,"Johnson County, Illinois",4332
"G1700890","2015-2019","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17089",,,"Kane County, Illinois",95005,"Kane County, Illinois",1757
"G1700910","2015-2019","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17091",,,"Kankakee County, Illinois",73266,"Kankakee County, Illinois",2000
"G1700930","2015-2019","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17093",,,"Kendall County, Illinois",105313,"Kendall County, Illinois",4497
"G1700950","2015-2019","IL",,,"Illinois","17","Knox County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17095",,,"Knox County, Illinois",63307,"Knox County, Illinois",2288
"G1700970","2015-2019","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17097",,,"Lake County, Illinois",108478,"Lake County, Illinois",1311
"G1700990","2015-2019","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17099",,,"LaSalle County, Illinois",71049,"LaSalle County, Illinois",1866
"G1701010","2015-2019","IL",,,"Illinois","17","Lawrence County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17101",,,"Lawrence County, Illinois",60331,"Lawrence County, Illinois",6984
"G1701030","2015-2019","IL",,,"Illinois","17","Lee County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17103",,,"Lee County, Illinois",75617,"Lee County, Illinois",3438
"G1701050","2015-2019","IL",,,"Illinois","17","Livingston County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17105",,,"Livingston County, Illinois",71034,"Livingston County, Illinois",3197
"G1701070","2015-2019","IL",,,"Illinois","17","Logan County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17107",,,"Logan County, Illinois",74457,"Logan County, Illinois",3938
"G1701090","2015-2019","IL",,,"Illinois","17","McDonough County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17109",,,"McDonough County, Illinois",70477,"McDonough County, Illinois",2859
"G1701110","2015-2019","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17111",,,"McHenry County, Illinois",100294,"McHenry County, Illinois",1958
"G1701130","2015-2019","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17113",,,"McLean County, Illinois",92750,"McLean County, Illinois",1930
"G1701150","2015-2019","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17115",,,"Macon County, Illinois",68961,"Macon County, Illinois",1989
"G1701170","2015-2019","IL",,,"Illinois","17","Macoupin County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17117",,,"Macoupin County, Illinois",67395,"Macoupin County, Illinois",3403
"G1701190","2015-2019","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17119",,,"Madison County, Illinois",77608,"Madison County, Illinois",2579
"G1701210","2015-2019","IL",,,"Illinois","17","Marion County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17121",,,"Marion County, Illinois",60645,"Marion County, Illinois",2505
"G1701230","2015-2019","IL",,,"Illinois","17","Marshall County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17123",,,"Marshall County, Illinois",72575,"Marshall County, Illinois",3840
"G1701250","2015-2019","IL",,,"Illinois","17","Mason County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17125",,,"Mason County, Illinois",61639,"Mason County, Illinois",3192
"G1701270","2015-2019","IL",,,"Illinois","17","Massac County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17127",,,"Massac County, Illinois",61028,"Massac County, Illinois",3796
"G1701290","2015-2019","IL",,,"Illinois","17","Menard County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17129",,,"Menard County, Illinois",91010,"Menard County, Illinois",3064
"G1701310","2015-2019","IL",,,"Illinois","17","Mercer County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17131",,,"Mercer County, Illinois",74262,"Mercer County, Illinois",2293
"G1701330","2015-2019","IL",,,"Illinois","17","Monroe County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17133",,,"Monroe County, Illinois",101294,"Monroe County, Illinois",2665
"G1701350","2015-2019","IL",,,"Illinois","17","Montgomery County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17135",,,"Montgomery County, Illinois",66823,"Montgomery County, Illinois",2905
"G1701370","2015-2019","IL",,,"Illinois","17","Morgan County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17137",,,"Morgan County, Illinois",62943,"Morgan County, Illinois",3348
"G1701390","2015-2019","IL",,,"Illinois","17","Moultrie County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17139",,,"Moultrie County, Illinois",71652,"Moultrie County, Illinois",4956
"G1701410","2015-2019","IL",,,"Illinois","17","Ogle County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17141",,,"Ogle County, Illinois",74961,"Ogle County, Illinois",2351
"G1701430","2015-2019","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17143",,,"Peoria County, Illinois",73080,"Peoria County, Illinois",2426
"G1701450","2015-2019","IL",,,"Illinois","17","Perry County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17145",,,"Perry County, Illinois",64574,"Perry County, Illinois",5522
"G1701470","2015-2019","IL",,,"Illinois","17","Piatt County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17147",,,"Piatt County, Illinois",82691,"Piatt County, Illinois",2749
"G1701490","2015-2019","IL",,,"Illinois","17","Pike County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17149",,,"Pike County, Illinois",62534,"Pike County, Illinois",3689
"G1701510","2015-2019","IL",,,"Illinois","17","Pope County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17151",,,"Pope County, Illinois",64226,"Pope County, Illinois",13013
"G1701530","2015-2019","IL",,,"Illinois","17","Pulaski County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17153",,,"Pulaski County, Illinois",47554,"Pulaski County, Illinois",5859
"G1701550","2015-2019","IL",,,"Illinois","17","Putnam County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17155",,,"Putnam County, Illinois",77458,"Putnam County, Illinois",4854
"G1701570","2015-2019","IL",,,"Illinois","17","Randolph County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17157",,,"Randolph County, Illinois",69158,"Randolph County, Illinois",4006
"G1701590","2015-2019","IL",,,"Illinois","17","Richland County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17159",,,"Richland County, Illinois",65554,"Richland County, Illinois",5693
"G1701610","2015-2019","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17161",,,"Rock Island County, Illinois",70262,"Rock Island County, Illinois",2428
"G1701630","2015-2019","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17163",,,"St. Clair County, Illinois",75024,"St. Clair County, Illinois",2188
"G1701650","2015-2019","IL",,,"Illinois","17","Saline County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17165",,,"Saline County, Illinois",54492,"Saline County, Illinois",4129
"G1701670","2015-2019","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17167",,,"Sangamon County, Illinois",83290,"Sangamon County, Illinois",1892
"G1701690","2015-2019","IL",,,"Illinois","17","Schuyler County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17169",,,"Schuyler County, Illinois",64896,"Schuyler County, Illinois",6816
"G1701710","2015-2019","IL",,,"Illinois","17","Scott County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17171",,,"Scott County, Illinois",69957,"Scott County, Illinois",4258
"G1701730","2015-2019","IL",,,"Illinois","17","Shelby County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17173",,,"Shelby County, Illinois",65528,"Shelby County, Illinois",3762
"G1701750","2015-2019","IL",,,"Illinois","17","Stark County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17175",,,"Stark County, Illinois",67923,"Stark County, Illinois",2878
"G1701770","2015-2019","IL",,,"Illinois","17","Stephenson County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17177",,,"Stephenson County, Illinois",62346,"Stephenson County, Illinois",2296
"G1701790","2015-2019","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17179",,,"Tazewell County, Illinois",78864,"Tazewell County, Illinois",2454
"G1701810","2015-2019","IL",,,"Illinois","17","Union County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17181",,,"Union County, Illinois",61026,"Union County, Illinois",5126
"G1701830","2015-2019","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17183",,,"Vermilion County, Illinois",59153,"Vermilion County, Illinois",2692
"G1701850","2015-2019","IL",,,"Illinois","17","Wabash County","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17185",,,"Wabash County, Illinois",70837,"Wabash County, Illinois",5046
"G1701870","2015-2019","IL",,,"Illinois","17","Warren County","187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17187",,,"Warren County, Illinois",61667,"Warren County, Illinois",4777
"G1701890","2015-2019","IL",,,"Illinois","17","Washington County","189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17189",,,"Washington County, Illinois",78619,"Washington County, Illinois",4271
"G1701910","2015-2019","IL",,,"Illinois","17","Wayne County","191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17191",,,"Wayne County, Illinois",61438,"Wayne County, Illinois",2934
"G1701930","2015-2019","IL",,,"Illinois","17","White County","193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17193",,,"White County, Illinois",61134,"White County, Illinois",2211
"G1701950","2015-2019","IL",,,"Illinois","17","Whiteside County","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17195",,,"Whiteside County, Illinois",68161,"Whiteside County, Illinois",2814
"G1701970","2015-2019","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17197",,,"Will County, Illinois",101880,"Will County, Illinois",1009
"G1701990","2015-2019","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17199",,,"Williamson County, Illinois",66949,"Williamson County, Illinois",3316
"G1702010","2015-2019","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17201",,,"Winnebago County, Illinois",66940,"Winnebago County, Illinois",1726
"G1702030","2015-2019","IL",,,"Illinois","17","Woodford County","203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17203",,,"Woodford County, Illinois",84855,"Woodford County, Illinois",3051
"G1800010","2015-2019","IN",,,"Indiana","18","Adams County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18001",,,"Adams County, Indiana",65609,"Adams County, Indiana",4511
"G1800030","2015-2019","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18003",,,"Allen County, Indiana",68746,"Allen County, Indiana",1193
"G1800050","2015-2019","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18005",,,"Bartholomew County, Indiana",77752,"Bartholomew County, Indiana",2253
"G1800070","2015-2019","IN",,,"Indiana","18","Benton County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18007",,,"Benton County, Indiana",57131,"Benton County, Indiana",5115
"G1800090","2015-2019","IN",,,"Indiana","18","Blackford County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18009",,,"Blackford County, Indiana",53263,"Blackford County, Indiana",3183
"G1800110","2015-2019","IN",,,"Indiana","18","Boone County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18011",,,"Boone County, Indiana",102419,"Boone County, Indiana",5505
"G1800130","2015-2019","IN",,,"Indiana","18","Brown County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18013",,,"Brown County, Indiana",76466,"Brown County, Indiana",9241
"G1800150","2015-2019","IN",,,"Indiana","18","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18015",,,"Carroll County, Indiana",65153,"Carroll County, Indiana",5105
"G1800170","2015-2019","IN",,,"Indiana","18","Cass County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18017",,,"Cass County, Indiana",63787,"Cass County, Indiana",3438
"G1800190","2015-2019","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18019",,,"Clark County, Indiana",69987,"Clark County, Indiana",2768
"G1800210","2015-2019","IN",,,"Indiana","18","Clay County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18021",,,"Clay County, Indiana",66464,"Clay County, Indiana",2759
"G1800230","2015-2019","IN",,,"Indiana","18","Clinton County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18023",,,"Clinton County, Indiana",64834,"Clinton County, Indiana",2734
"G1800250","2015-2019","IN",,,"Indiana","18","Crawford County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18025",,,"Crawford County, Indiana",56900,"Crawford County, Indiana",5056
"G1800270","2015-2019","IN",,,"Indiana","18","Daviess County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18027",,,"Daviess County, Indiana",66065,"Daviess County, Indiana",4340
"G1800290","2015-2019","IN",,,"Indiana","18","Dearborn County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18029",,,"Dearborn County, Indiana",78563,"Dearborn County, Indiana",3444
"G1800310","2015-2019","IN",,,"Indiana","18","Decatur County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18031",,,"Decatur County, Indiana",66351,"Decatur County, Indiana",5617
"G1800330","2015-2019","IN",,,"Indiana","18","DeKalb County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18033",,,"DeKalb County, Indiana",68672,"DeKalb County, Indiana",2324
"G1800350","2015-2019","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18035",,,"Delaware County, Indiana",59699,"Delaware County, Indiana",1683
"G1800370","2015-2019","IN",,,"Indiana","18","Dubois County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18037",,,"Dubois County, Indiana",74470,"Dubois County, Indiana",3211
"G1800390","2015-2019","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18039",,,"Elkhart County, Indiana",67569,"Elkhart County, Indiana",1593
"G1800410","2015-2019","IN",,,"Indiana","18","Fayette County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18041",,,"Fayette County, Indiana",54251,"Fayette County, Indiana",3318
"G1800430","2015-2019","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18043",,,"Floyd County, Indiana",82020,"Floyd County, Indiana",2214
"G1800450","2015-2019","IN",,,"Indiana","18","Fountain County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18045",,,"Fountain County, Indiana",66338,"Fountain County, Indiana",3859
"G1800470","2015-2019","IN",,,"Indiana","18","Franklin County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18047",,,"Franklin County, Indiana",71274,"Franklin County, Indiana",4305
"G1800490","2015-2019","IN",,,"Indiana","18","Fulton County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18049",,,"Fulton County, Indiana",64716,"Fulton County, Indiana",5244
"G1800510","2015-2019","IN",,,"Indiana","18","Gibson County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18051",,,"Gibson County, Indiana",71335,"Gibson County, Indiana",3327
"G1800530","2015-2019","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18053",,,"Grant County, Indiana",55720,"Grant County, Indiana",2337
"G1800550","2015-2019","IN",,,"Indiana","18","Greene County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18055",,,"Greene County, Indiana",62163,"Greene County, Indiana",4056
"G1800570","2015-2019","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18057",,,"Hamilton County, Indiana",116580,"Hamilton County, Indiana",2990
"G1800590","2015-2019","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18059",,,"Hancock County, Indiana",87694,"Hancock County, Indiana",2656
"G1800610","2015-2019","IN",,,"Indiana","18","Harrison County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18061",,,"Harrison County, Indiana",73355,"Harrison County, Indiana",6570
"G1800630","2015-2019","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18063",,,"Hendricks County, Indiana",93555,"Hendricks County, Indiana",3079
"G1800650","2015-2019","IN",,,"Indiana","18","Henry County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18065",,,"Henry County, Indiana",60418,"Henry County, Indiana",2638
"G1800670","2015-2019","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18067",,,"Howard County, Indiana",64533,"Howard County, Indiana",1668
"G1800690","2015-2019","IN",,,"Indiana","18","Huntington County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18069",,,"Huntington County, Indiana",66022,"Huntington County, Indiana",2775
"G1800710","2015-2019","IN",,,"Indiana","18","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18071",,,"Jackson County, Indiana",62098,"Jackson County, Indiana",3002
"G1800730","2015-2019","IN",,,"Indiana","18","Jasper County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18073",,,"Jasper County, Indiana",73969,"Jasper County, Indiana",3493
"G1800750","2015-2019","IN",,,"Indiana","18","Jay County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18075",,,"Jay County, Indiana",60086,"Jay County, Indiana",3441
"G1800770","2015-2019","IN",,,"Indiana","18","Jefferson County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18077",,,"Jefferson County, Indiana",61778,"Jefferson County, Indiana",4960
"G1800790","2015-2019","IN",,,"Indiana","18","Jennings County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18079",,,"Jennings County, Indiana",64401,"Jennings County, Indiana",2800
"G1800810","2015-2019","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18081",,,"Johnson County, Indiana",86964,"Johnson County, Indiana",2395
"G1800830","2015-2019","IN",,,"Indiana","18","Knox County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18083",,,"Knox County, Indiana",63665,"Knox County, Indiana",3149
"G1800850","2015-2019","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18085",,,"Kosciusko County, Indiana",70338,"Kosciusko County, Indiana",1728
"G1800870","2015-2019","IN",,,"Indiana","18","LaGrange County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18087",,,"LaGrange County, Indiana",72199,"LaGrange County, Indiana",2850
"G1800890","2015-2019","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18089",,,"Lake County, Indiana",69821,"Lake County, Indiana",1318
"G1800910","2015-2019","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18091",,,"LaPorte County, Indiana",67310,"LaPorte County, Indiana",3113
"G1800930","2015-2019","IN",,,"Indiana","18","Lawrence County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18093",,,"Lawrence County, Indiana",65576,"Lawrence County, Indiana",2432
"G1800950","2015-2019","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18095",,,"Madison County, Indiana",61629,"Madison County, Indiana",1430
"G1800970","2015-2019","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18097",,,"Marion County, Indiana",62678,"Marion County, Indiana",876
"G1800990","2015-2019","IN",,,"Indiana","18","Marshall County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18099",,,"Marshall County, Indiana",64036,"Marshall County, Indiana",3595
"G1801010","2015-2019","IN",,,"Indiana","18","Martin County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18101",,,"Martin County, Indiana",66267,"Martin County, Indiana",6624
"G1801030","2015-2019","IN",,,"Indiana","18","Miami County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18103",,,"Miami County, Indiana",61011,"Miami County, Indiana",3085
"G1801050","2015-2019","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18105",,,"Monroe County, Indiana",77074,"Monroe County, Indiana",3396
"G1801070","2015-2019","IN",,,"Indiana","18","Montgomery County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18107",,,"Montgomery County, Indiana",67016,"Montgomery County, Indiana",2961
"G1801090","2015-2019","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18109",,,"Morgan County, Indiana",73892,"Morgan County, Indiana",2631
"G1801110","2015-2019","IN",,,"Indiana","18","Newton County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18111",,,"Newton County, Indiana",65837,"Newton County, Indiana",4006
"G1801130","2015-2019","IN",,,"Indiana","18","Noble County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18113",,,"Noble County, Indiana",66777,"Noble County, Indiana",2400
"G1801150","2015-2019","IN",,,"Indiana","18","Ohio County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18115",,,"Ohio County, Indiana",73088,"Ohio County, Indiana",12696
"G1801170","2015-2019","IN",,,"Indiana","18","Orange County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18117",,,"Orange County, Indiana",58335,"Orange County, Indiana",3011
"G1801190","2015-2019","IN",,,"Indiana","18","Owen County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18119",,,"Owen County, Indiana",62476,"Owen County, Indiana",3719
"G1801210","2015-2019","IN",,,"Indiana","18","Parke County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18121",,,"Parke County, Indiana",60037,"Parke County, Indiana",4638
"G1801230","2015-2019","IN",,,"Indiana","18","Perry County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18123",,,"Perry County, Indiana",66747,"Perry County, Indiana",5769
"G1801250","2015-2019","IN",,,"Indiana","18","Pike County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18125",,,"Pike County, Indiana",63112,"Pike County, Indiana",3190
"G1801270","2015-2019","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18127",,,"Porter County, Indiana",86096,"Porter County, Indiana",2542
"G1801290","2015-2019","IN",,,"Indiana","18","Posey County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18129",,,"Posey County, Indiana",78116,"Posey County, Indiana",4230
"G1801310","2015-2019","IN",,,"Indiana","18","Pulaski County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18131",,,"Pulaski County, Indiana",58236,"Pulaski County, Indiana",4252
"G1801330","2015-2019","IN",,,"Indiana","18","Putnam County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18133",,,"Putnam County, Indiana",73502,"Putnam County, Indiana",1782
