GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,SMSAA,URB_AREAA,BLOCKA,CDA,AREANAME,C19001
"G0201900","1970","Alaska","02","Outer Ketchikan","190",,,,,,,,,"Outer Ketchikan",547300
"G0202000","1970","Alaska","02","Prince Of Wales","200",,,,,,,,,"Prince Of Wales",2552400
"G0202100","1970","Alaska","02","Seward","210",,,,,,,,,"Seward",1194550
"G0202200","1970","Alaska","02","Sitka","220",,,,,,,,,"Sitka",3770050
"G0202300","1970","Alaska","02","Skagway-Yakutat","230",,,,,,,,,"Skagway-Yakutat",1747900
"G0202400","1970","Alaska","02","Southeast Fairbanks","240",,,,,,,,,"Southeast Fairbanks",2845300
"G0202500","1970","Alaska","02","Upper Yukon","250",,,,,,,,,"Upper Yukon",4344550
"G0202600","1970","Alaska","02","Valdez-Chitina-Whittier","260",,,,,,,,,"Valdez-Chitina-Whittier",1679700
"G0202700","1970","Alaska","02","Wade Hampton","270",,,,,,,,,"Wade Hampton",1171500
"G0202800","1970","Alaska","02","Wrangell-Petersburg","280",,,,,,,,,"Wrangell-Petersburg",2158250
"G0202900","1970","Alaska","02","Yukon-Koyukuk","290",,,,,,,,,"Yukon-Koyukuk",5403300
"G0400010","1970","Arizona","04","Apache","001",,,,,,,,,"Apache",4350300
"G0400030","1970","Arizona","04","Cochise","003",,,,,,,,,"Cochise",22506150
"G0400050","1970","Arizona","04","Coconino","005",,,,,,,,,"Coconino",16765500
"G0400070","1970","Arizona","04","Gila","007",,,,,,,,,"Gila",5700600
"G0400090","1970","Arizona","04","Graham","009",,,,,,,,,"Graham",2038250
"G0400110","1970","Arizona","04","Greenlee","011",,,,,,,,,"Greenlee",1982300
"G0400130","1970","Arizona","04","Maricopa","013",,,,,"6200",,,,"Maricopa",341448100
"G0400150","1970","Arizona","04","Mohave","015",,,,,,,,,"Mohave",7452750
"G0400170","1970","Arizona","04","Navajo","017",,,,,"6200",,,,"Navajo",5722800
"G0400190","1970","Arizona","04","Pima","019",,,,,"8520",,,,"Pima",137100650
"G0400210","1970","Arizona","04","Pinal","021",,,,,,,,,"Pinal",13028750
"G0400230","1970","Arizona","04","Santa Cruz","023",,,,,,,,,"Santa Cruz",3159850
"G0400250","1970","Arizona","04","Yavapai","025",,,,,,,,,"Yavapai",11227700
"G0400270","1970","Arizona","04","Yuma","027",,,,,"8520",,,,"Yuma",19905950
"G0500010","1970","Arkansas","05","Arkansas","001",,,,,,,,,"Arkansas",4351650
"G0500030","1970","Arkansas","05","Ashley","003",,,,,,,,,"Ashley",3313300
"G0500050","1970","Arkansas","05","Baxter","005",,,,,,,,,"Baxter",2238850
"G0500070","1970","Arkansas","05","Benton","007",,,,,,,,,"Benton",9104500
"G0500090","1970","Arkansas","05","Boone","009",,,,,,,,,"Boone",2507400
"G0500110","1970","Arkansas","05","Bradley","011",,,,,,,,,"Bradley",1582450
"G0500130","1970","Arkansas","05","Calhoun","013",,,,,,,,,"Calhoun",597350
"G0500150","1970","Arkansas","05","Carroll","015",,,,,,,,,"Carroll",2066950
"G0500170","1970","Arkansas","05","Chicot","017",,,,,,,,,"Chicot",2715650
"G0500190","1970","Arkansas","05","Clark","019",,,,,,,,,"Clark",6326600
"G0500210","1970","Arkansas","05","Clay","021",,,,,,,,,"Clay",2325100
"G0500230","1970","Arkansas","05","Cleburne","023",,,,,,,,,"Cleburne",985800
"G0500250","1970","Arkansas","05","Cleveland","025",,,,,,,,,"Cleveland",734400
"G0500270","1970","Arkansas","05","Columbia","027",,,,,,,,,"Columbia",4559850
"G0500290","1970","Arkansas","05","Conway","029",,,,,,,,,"Conway",1756400
"G0500310","1970","Arkansas","05","Craighead","031",,,,,,,,,"Craighead",10616400
"G0500330","1970","Arkansas","05","Crawford","033",,,,,"2720",,,,"Crawford",3156000
"G0500350","1970","Arkansas","05","Crittenden","035",,,,,"4920",,,,"Crittenden",7134700
"G0500370","1970","Arkansas","05","Cross","037",,,,,,,,,"Cross",2547100
"G0500390","1970","Arkansas","05","Dallas","039",,,,,,,,,"Dallas",1182750
"G0500410","1970","Arkansas","05","Desha","041",,,,,,,,,"Desha",3149450
"G0500430","1970","Arkansas","05","Drew","043",,,,,,,,,"Drew",2919350
"G0500450","1970","Arkansas","05","Faulkner","045",,,,,,,,,"Faulkner",6364150
"G0500470","1970","Arkansas","05","Franklin","047",,,,,,,,,"Franklin",1356550
"G0500490","1970","Arkansas","05","Fulton","049",,,,,,,,,"Fulton",661100
"G0500510","1970","Arkansas","05","Garland","051",,,,,,,,,"Garland",14622450
"G0500530","1970","Arkansas","05","Grant","053",,,,,,,,,"Grant",1132150
"G0500550","1970","Arkansas","05","Greene","055",,,,,,,,,"Greene",3870950
"G0500570","1970","Arkansas","05","Hempstead","057",,,,,,,,,"Hempstead",2947300
"G0500590","1970","Arkansas","05","Hot Spring","059",,,,,,,,,"Hot Spring",2572750
"G0500610","1970","Arkansas","05","Howard","061",,,,,,,,,"Howard",1577450
"G0500630","1970","Arkansas","05","Independence","063",,,,,,,,,"Independence",3518300
"G0500650","1970","Arkansas","05","Izard","065",,,,,,,,,"Izard",846400
"G0500670","1970","Arkansas","05","Jackson","067",,,,,"4920",,,,"Jackson",3185300
"G0500690","1970","Arkansas","05","Jefferson","069",,,,,"6240",,,,"Jefferson",17220400
"G0500710","1970","Arkansas","05","Johnson","071",,,,,,,,,"Johnson",1766100
"G0500730","1970","Arkansas","05","Lafayette","073",,,,,,,,,"Lafayette",1406050
"G0500750","1970","Arkansas","05","Lawrence","075",,,,,,,,,"Lawrence",3228950
"G0500770","1970","Arkansas","05","Lee","077",,,,,,,,,"Lee",2133550
"G0500790","1970","Arkansas","05","Lincoln","079",,,,,,,,,"Lincoln",1251150
"G0500810","1970","Arkansas","05","Little River","081",,,,,,,,,"Little River",1521150
"G0500830","1970","Arkansas","05","Logan","083",,,,,,,,,"Logan",2722200
"G0500850","1970","Arkansas","05","Lonoke","085",,,,,,,,,"Lonoke",3183350
"G0500870","1970","Arkansas","05","Madison","087",,,,,,,,,"Madison",946900
"G0500890","1970","Arkansas","05","Marion","089",,,,,"6240",,,,"Marion",1067900
"G0500910","1970","Arkansas","05","Miller","091",,,,,"8360",,,,"Miller",7265550
"G0500930","1970","Arkansas","05","Mississippi","093",,,,,,,,,"Mississippi",12604600
"G0500950","1970","Arkansas","05","Monroe","095",,,,,,,,,"Monroe",2269550
"G0500970","1970","Arkansas","05","Montgomery","097",,,,,,,,,"Montgomery",1270500
"G0500990","1970","Arkansas","05","Nevada","099",,,,,,,,,"Nevada",1347250
"G0501010","1970","Arkansas","05","Newton","101",,,,,,,,,"Newton",479600
"G0501030","1970","Arkansas","05","Ouachita","103",,,,,,,,,"Ouachita",4272650
"G0501050","1970","Arkansas","05","Perry","105",,,,,,,,,"Perry",704650
"G0501070","1970","Arkansas","05","Phillips","107",,,,,,,,,"Phillips",5378850
"G0501090","1970","Arkansas","05","Pike","109",,,,,,,,,"Pike",1083450
"G0501110","1970","Arkansas","05","Poinsett","111",,,,,,,,,"Poinsett",3099900
"G0501130","1970","Arkansas","05","Polk","113",,,,,,,,,"Polk",1794000
"G0501150","1970","Arkansas","05","Pope","115",,,,,,,,,"Pope",5299300
"G0501170","1970","Arkansas","05","Prairie","117",,,,,"8360",,,,"Prairie",1480450
"G0501190","1970","Arkansas","05","Pulaski","119",,,,,"4400",,,,"Pulaski",85873350
"G0501210","1970","Arkansas","05","Randolph","121",,,,,,,,,"Randolph",1599000
"G0501230","1970","Arkansas","05","St Francis","123",,,,,,,,,"St Francis",3926150
"G0501250","1970","Arkansas","05","Saline","125",,,,,"4400",,,,"Saline",3696600
"G0501270","1970","Arkansas","05","Scott","127",,,,,,,,,"Scott",656050
"G0501290","1970","Arkansas","05","Searcy","129",,,,,"4400",,,,"Searcy",486750
"G0501310","1970","Arkansas","05","Sebastian","131",,,,,"2720",,,,"Sebastian",19590250
"G0501330","1970","Arkansas","05","Sevier","133",,,,,,,,,"Sevier",2272450
"G0501350","1970","Arkansas","05","Sharp","135",,,,,,,,,"Sharp",888550
"G0501370","1970","Arkansas","05","Stone","137",,,,,,,,,"Stone",721000
"G0501390","1970","Arkansas","05","Union","139",,,,,,,,,"Union",8539800
"G0501410","1970","Arkansas","05","Van Buren","141",,,,,,,,,"Van Buren",738900
"G0501430","1970","Arkansas","05","Washington","143",,,,,,,,,"Washington",21702450
"G0501450","1970","Arkansas","05","White","145",,,,,,,,,"White",5829550
"G0501470","1970","Arkansas","05","Woodruff","147",,,,,,,,,"Woodruff",1907450
"G0501490","1970","Arkansas","05","Yell","149",,,,,"2720",,,,"Yell",1695350
"G0600010","1970","California","06","Alameda","001",,,,,"7360",,,,"Alameda",685910250
"G0600030","1970","California","06","Alpine","003",,,,,,,,,"Alpine",186900
"G0600050","1970","California","06","Amador","005",,,,,,,,,"Amador",4429700
"G0600070","1970","California","06","Butte","007",,,,,,,,,"Butte",36794100
"G0600090","1970","California","06","Calaveras","009",,,,,,,,,"Calaveras",4399800
"G0600110","1970","California","06","Colusa","011",,,,,,,,,"Colusa",4753650
"G0600130","1970","California","06","Contra Costa","013",,,,,"7360",,,,"Contra Costa",195464950
"G0600150","1970","California","06","Del Norte","015",,,,,,,,,"Del Norte",4451900
"G0600170","1970","California","06","El Dorado","017",,,,,"7360",,,,"El Dorado",17270550
"G0600190","1970","California","06","Fresno","019",,,,,"2840",,,,"Fresno",123992950
"G0600210","1970","California","06","Glenn","021",,,,,,,,,"Glenn",5554100
"G0600230","1970","California","06","Humboldt","023",,,,,,,,,"Humboldt",34632100
"G0600250","1970","California","06","Imperial","025",,,,,,,,,"Imperial",17686450
"G0600270","1970","California","06","Inyo","027",,,,,"2840",,,,"Inyo",6296150
"G0600290","1970","California","06","Kern","029",,,,,"0680",,,,"Kern",94935850
"G0600310","1970","California","06","Kings","031",,,,,,,,,"Kings",20601400
"G0600330","1970","California","06","Lake","033",,,,,,,,,"Lake",6766800
"G0600350","1970","California","06","Lassen","035",,,,,"0680",,,,"Lassen",5751600
"G0600370","1970","California","06","Los Angeles","037",,,,,"4480",,,,"Los Angeles",4605840800
"G0600390","1970","California","06","Madera","039",,,,,,,,,"Madera",8545600
"G0600410","1970","California","06","Marin","041",,,,,"7360",,,,"Marin",148732750
"G0600430","1970","California","06","Mariposa","043",,,,,,,,,"Mariposa",3140300
"G0600450","1970","California","06","Mendocino","045",,,,,,,,,"Mendocino",17083400
"G0600470","1970","California","06","Merced","047",,,,,,,,,"Merced",26134000
"G0600490","1970","California","06","Modoc","049",,,,,,,,,"Modoc",2064950
"G0600510","1970","California","06","Mono","051",,,,,"7360",,,,"Mono",2300100
"G0600530","1970","California","06","Monterey","053",,,,,"7120",,,,"Monterey",156969100
"G0600550","1970","California","06","Napa","055",,,,,"8720",,,,"Napa",28732450
"G0600570","1970","California","06","Nevada","057",,,,,"8720",,,,"Nevada",10324950
"G0600590","1970","California","06","Orange","059",,,,,"0360",,,,"Orange",588736450
"G0600610","1970","California","06","Placer","061",,,,,"6920",,,,"Placer",25573400
"G0600630","1970","California","06","Plumas","063",,,,,"6920",,,,"Plumas",4369650
"G0600650","1970","California","06","Riverside","065",,,,,"7280",,,,"Riverside",178554900
"G0600670","1970","California","06","Sacramento","067",,,,,"6920",,,,"Sacramento",253194450
"G0600690","1970","California","06","San Benito","069",,,,,"6920",,,,"San Benito",5371000
"G0600710","1970","California","06","San Bernardino","071",,,,,"7280",,,,"San Bernardino",222679100
"G0600730","1970","California","06","San Diego","073",,,,,"7320",,,,"San Diego",841075050
"G0600750","1970","California","06","San Francisco","075",,,,,"7360",,,,"San Francisco",974447250
"G0600770","1970","California","06","San Joaquin","077",,,,,"8120",,,,"San Joaquin",101528050
"G0600790","1970","California","06","San Luis Obispo","079",,,,,"8120",,,,"San Luis Obispo",48883950
"G0600810","1970","California","06","San Mateo","081",,,,,"7360",,,,"San Mateo",318890750
"G0600830","1970","California","06","Santa Barbara","083",,,,,"7480",,,,"Santa Barbara",141706950
"G0600850","1970","California","06","Santa Clara","085",,,,,"7400",,,,"Santa Clara",506562350
"G0600870","1970","California","06","Santa Cruz","087",,,,,,,,,"Santa Cruz",57313100
"G0600890","1970","California","06","Shasta","089",,,,,,,,,"Shasta",21471800
"G0600910","1970","California","06","Sierra","091",,,,,,,,,"Sierra",1059700
"G0600930","1970","California","06","Siskiyou","093",,,,,"7400",,,,"Siskiyou",10467800
"G0600950","1970","California","06","Solano","095",,,,,"8720",,,,"Solano",69323650
"G0600970","1970","California","06","Sonoma","097",,,,,"7500",,,,"Sonoma",71741800
"G0600990","1970","California","06","Stanislaus","099",,,,,"5170",,,,"Stanislaus",55736900
"G0601010","1970","California","06","Sutter","101",,,,,,,,,"Sutter",11007850
"G0601030","1970","California","06","Tehama","103",,,,,,,,,"Tehama",7749500
"G0601050","1970","California","06","Trinity","105",,,,,,,,,"Trinity",2698850
"G0601070","1970","California","06","Tulare","107",,,,,,,,,"Tulare",43482650
"G0601090","1970","California","06","Tuolumne","109",,,,,"5170",,,,"Tuolumne",7081050
"G0601110","1970","California","06","Ventura","111",,,,,"6000",,,,"Ventura",117062800
"G0601130","1970","California","06","Yolo","113",,,,,"6920",,,,"Yolo",40245300
"G0601150","1970","California","06","Yuba","115",,,,,"6920",,,,"Yuba",15183000
"G0800010","1970","Colorado","08","Adams","001",,,,,"2080",,,,"Adams",41681050
"G0800030","1970","Colorado","08","Alamosa","003",,,,,,,,,"Alamosa",3966800
"G0800050","1970","Colorado","08","Arapahoe","005",,,,,"2080",,,,"Arapahoe",46148900
"G0800070","1970","Colorado","08","Archuleta","007",,,,,,,,,"Archuleta",649000
"G0800090","1970","Colorado","08","Baca","009",,,,,,,,,"Baca",1125850
"G0800110","1970","Colorado","08","Bent","011",,,,,,,,,"Bent",1525050
"G0800130","1970","Colorado","08","Boulder","013",,,,,"2080",,,,"Boulder",63128600
"G0800150","1970","Colorado","08","Chaffee","015",,,,,,,,,"Chaffee",1940050
"G0800170","1970","Colorado","08","Cheyenne","017",,,,,,,,,"Cheyenne",701150
"G0800190","1970","Colorado","08","Clear Creek","019",,,,,,,,,"Clear Creek",2149500
"G0800210","1970","Colorado","08","Conejos","021",,,,,,,,,"Conejos",774800
"G0800230","1970","Colorado","08","Costilla","023",,,,,,,,,"Costilla",303500
"G0800250","1970","Colorado","08","Crowley","025",,,,,,,,,"Crowley",1021400
"G0800270","1970","Colorado","08","Custer","027",,,,,,,,,"Custer",497850
"G0800290","1970","Colorado","08","Delta","029",,,,,,,,,"Delta",2883750
"G0800310","1970","Colorado","08","Denver","031",,,,,"2080",,,,"Denver",367862250
"G0800330","1970","Colorado","08","Dolores","033",,,,,,,,,"Dolores",141750
"G0800350","1970","Colorado","08","Douglas","035",,,,,,,,,"Douglas",1851800
"G0800370","1970","Colorado","08","Eagle","037",,,,,,,,,"Eagle",3624000
"G0800390","1970","Colorado","08","Elbert","039",,,,,"2080",,,,"Elbert",706550
"G0800410","1970","Colorado","08","El Paso","041",,,,,"1720",,,,"El Paso",112738850
"G0800430","1970","Colorado","08","Fremont","043",,,,,,,,,"Fremont",4782200
"G0800450","1970","Colorado","08","Garfield","045",,,,,,,,,"Garfield",3344050
"G0800470","1970","Colorado","08","Gilpin","047",,,,,,,,,"Gilpin",639650
"G0800490","1970","Colorado","08","Grand","049",,,,,,,,,"Grand",1595600
"G0800510","1970","Colorado","08","Gunnison","051",,,,,,,,,"Gunnison",5064300
"G0800530","1970","Colorado","08","Hinsdale","053",,,,,,,,,"Hinsdale",24100
"G0800550","1970","Colorado","08","Huerfano","055",,,,,,,,,"Huerfano",1641700
"G0800570","1970","Colorado","08","Jackson","057",,,,,"1720",,,,"Jackson",826200
"G0800590","1970","Colorado","08","Jefferson","059",,,,,"2080",,,,"Jefferson",60882300
"G0800610","1970","Colorado","08","Kiowa","061",,,,,,,,,"Kiowa",244800
"G0800630","1970","Colorado","08","Kit Carson","063",,,,,,,,,"Kit Carson",1558650
"G0800650","1970","Colorado","08","Lake","065",,,,,,,,,"Lake",3083100
"G0800670","1970","Colorado","08","La Plata","067",,,,,,,,,"La Plata",4679500
"G0800690","1970","Colorado","08","Larimer","069",,,,,,,,,"Larimer",35720600
"G0800710","1970","Colorado","08","Las Animas","071",,,,,,,,,"Las Animas",4287500
"G0800730","1970","Colorado","08","Lincoln","073",,,,,,,,,"Lincoln",1029550
"G0800750","1970","Colorado","08","Logan","075",,,,,,,,,"Logan",5303200
"G0800770","1970","Colorado","08","Mesa","077",,,,,,,,,"Mesa",17061350
"G0800790","1970","Colorado","08","Mineral","079",,,,,,,,,"Mineral",253600
"G0800810","1970","Colorado","08","Moffat","081",,,,,,,,,"Moffat",1858950
"G0800830","1970","Colorado","08","Montezuma","083",,,,,,,,,"Montezuma",1764100
"G0800850","1970","Colorado","08","Montrose","085",,,,,,,,,"Montrose",3196000
"G0800870","1970","Colorado","08","Morgan","087",,,,,,,,,"Morgan",4243050
"G0800890","1970","Colorado","08","Otero","089",,,,,,,,,"Otero",5642350
"G0800910","1970","Colorado","08","Ouray","091",,,,,,,,,"Ouray",494450
"G0800930","1970","Colorado","08","Park","093",,,,,,,,,"Park",981800
"G0800950","1970","Colorado","08","Phillips","095",,,,,,,,,"Phillips",1798500
"G0800970","1970","Colorado","08","Pitkin","097",,,,,,,,,"Pitkin",6448750
"G0800990","1970","Colorado","08","Prowers","099",,,,,"2080",,,,"Prowers",2855350
"G0801010","1970","Colorado","08","Pueblo","101",,,,,"6560",,,,"Pueblo",29114400
"G0801030","1970","Colorado","08","Rio Blanco","103",,,,,,,,,"Rio Blanco",1023250
"G0801050","1970","Colorado","08","Rio Grande","105",,,,,,,,,"Rio Grande",1936200
"G0801070","1970","Colorado","08","Routt","107",,,,,,,,,"Routt",2063200
"G0801090","1970","Colorado","08","Saguache","109",,,,,,,,,"Saguache",694100
"G0801110","1970","Colorado","08","San Juan","111",,,,,,,,,"San Juan",339350
"G0801130","1970","Colorado","08","San Miguel","113",,,,,,,,,"San Miguel",881400
"G0801150","1970","Colorado","08","Sedgwick","115",,,,,,,,,"Sedgwick",943700
"G0801170","1970","Colorado","08","Summit","117",,,,,,,,,"Summit",1090700
"G0801190","1970","Colorado","08","Teller","119",,,,,,,,,"Teller",836250
"G0801210","1970","Colorado","08","Washington","121",,,,,,,,,"Washington",1381200
"G0801230","1970","Colorado","08","Weld","123",,,,,,,,,"Weld",26328650
"G0801250","1970","Colorado","08","Yuma","125",,,,,"6560",,,,"Yuma",1984550
"G0900010","1970","Connecticut","09","Fairfield","001",,,,,,,,,"Fairfield",330383350
"G0900030","1970","Connecticut","09","Hartford","003",,,,,,,,,"Hartford",330430100
"G0900050","1970","Connecticut","09","Litchfield","005",,,,,,,,,"Litchfield",51403200
"G0900070","1970","Connecticut","09","Middlesex","007",,,,,,,,,"Middlesex",39830050
"G0900090","1970","Connecticut","09","New Haven","009",,,,,,,,,"New Haven",258557100
"G0900110","1970","Connecticut","09","New London","011",,,,,,,,,"New London",115869600
"G0900130","1970","Connecticut","09","Tolland","013",,,,,,,,,"Tolland",32840000
"G0900150","1970","Connecticut","09","Windham","015",,,,,,,,,"Windham",26617850
"G1000010","1970","Delaware","10","Kent","001",,,,,,,,,"Kent",25016750
"G1000030","1970","Delaware","10","New Castle","003",,,,,"9160",,,,"New Castle",135847250
"G1000050","1970","Delaware","10","Sussex","005",,,,,"9160",,,,"Sussex",19683750
"G1100010","1970","District Of Columbia","11","District Of Columbia","001",,,,,"8840",,,,"District Of Columbia",898289150
"G1200010","1970","Florida","12","Alachua","001",,,,,"2900",,,,"Alachua",41518250
"G1200030","1970","Florida","12","Baker","003",,,,,,,,,"Baker",826100
"G1200050","1970","Florida","12","Bay","005",,,,,,,,,"Bay",19107000
"G1200070","1970","Florida","12","Bradford","007",,,,,,,,,"Bradford",2253100
"G1200090","1970","Florida","12","Brevard","009",,,,,"2900",,,,"Brevard",79197450
"G1200110","1970","Florida","12","Broward","011",,,,,"2680",,,,"Broward",274528600
"G1200130","1970","Florida","12","Calhoun","013",,,,,,,,,"Calhoun",1048500
"G1200150","1970","Florida","12","Charlotte","015",,,,,,,,,"Charlotte",7772150
"G1200170","1970","Florida","12","Citrus","017",,,,,,,,,"Citrus",4515750
