GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B69AA,B69AB,B69AC,B69AAM,B69ABM,B69ACM
G0600190,1970,California,6,60,Fresno County,19,190,Fresno,63576,128119,21697,,,
G0600210,1970,California,6,60,Glenn County,21,210,Glenn,2652,6725,704,,,
G0600230,1970,California,6,60,Humboldt County,23,230,Humboldt,12034,35229,5233,,,
G0600250,1970,California,6,60,Imperial County,25,250,Imperial,14457,19132,2662,,,
G0600270,1970,California,6,60,Inyo County,27,270,Inyo,1651,6838,872,,,
G0600290,1970,California,6,60,Kern County,29,290,Kern,48501,107202,15231,,,
G0600310,1970,California,6,60,Kings County,31,310,Kings,10475,18207,2685,,,
G0600330,1970,California,6,60,Lake County,33,330,Lake,3679,8859,968,,,
G0600350,1970,California,6,60,Lassen County,35,350,Lassen,1892,6965,717,,,
G0600370,1970,California,6,60,Los Angeles County,37,370,Los Angeles,779639,2676542,504563,,,
G0600390,1970,California,6,60,Madera County,39,390,Madera,8723,12222,1572,,,
G0600410,1970,California,6,60,Marin County,41,410,Marin,12025,75696,31797,,,
G0600430,1970,California,6,60,Mariposa County,43,430,Mariposa,821,2556,380,,,
G0600450,1970,California,6,60,Mendocino County,45,450,Mendocino,6753,20036,2751,,,
G0600470,1970,California,6,60,Merced County,47,470,Merced,16678,30243,4239,,,
G0600490,1970,California,6,60,Modoc County,49,490,Modoc,898,3210,307,,,
G0600510,1970,California,6,60,Mono County,51,510,Mono,337,1741,245,,,
G0600530,1970,California,6,60,Monterey County,53,530,Monterey,26628,75190,17983,,,
G0600550,1970,California,6,60,Napa County,55,550,Napa,9199,31800,5254,,,
G0600570,1970,California,6,60,Nevada County,57,570,Nevada,3389,11539,1612,,,
G0600590,1970,California,6,60,Orange County,59,590,Orange,96283,522504,116498,,,
G0600610,1970,California,6,60,Placer County,61,610,Placer,9061,30346,4362,,,
G0600630,1970,California,6,60,Plumas County,63,630,Plumas,1355,5064,643,,,
G0600650,1970,California,6,60,Riverside County,65,650,Riverside,59156,168748,27081,,,
G0600670,1970,California,6,60,Sacramento County,67,670,Sacramento,58910,229605,43457,,,
G0600690,1970,California,6,60,San Benito County,69,690,San Benito,3660,5201,671,,,
G0600710,1970,California,6,60,San Bernardino County,71,710,San Bernardino,78297,244499,32785,,,
G0600730,1970,California,6,60,San Diego County,73,730,San Diego,113904,479201,96174,,,
G0600750,1970,California,6,60,San Francisco County,75,750,San Francisco,106917,275259,76655,,,
G0600770,1970,California,6,60,San Joaquin County,77,770,San Joaquin,49518,96081,12612,,,
G0600790,1970,California,6,60,San Luis Obispo County,79,790,San Luis Obispo,12946,38444,6437,,,
G0600810,1970,California,6,60,San Mateo County,81,810,San Mateo,42411,219971,54276,,,
G0600830,1970,California,6,60,Santa Barbara County,83,830,Santa Barbara,20108,91952,24419,,,
G0600850,1970,California,6,60,Santa Clara County,85,850,Santa Clara,88517,349784,106037,,,
G0600870,1970,California,6,60,Santa Cruz County,87,870,Santa Cruz,15220,47777,9603,,,
G0600890,1970,California,6,60,Shasta County,89,890,Shasta,8325,30561,3665,,,
G0600910,1970,California,6,60,Sierra County,91,910,Sierra,356,1006,141,,,
G0600930,1970,California,6,60,Siskiyou County,93,930,Siskiyou,4812,13094,1461,,,
G0600950,1970,California,6,60,Solano County,95,950,Solano,15282,61174,7797,,,
G0600970,1970,California,6,60,Sonoma County,97,970,Sonoma,22996,79249,12765,,,
G0600990,1970,California,6,60,Stanislaus County,99,990,Stanislaus,31839,64559,8623,,,
G0601010,1970,California,6,60,Sutter County,101,1010,Sutter,5427,14420,2386,,,
G0601030,1970,California,6,60,Tehama County,103,1030,Tehama,3888,11479,1219,,,
G0601050,1970,California,6,60,Trinity County,105,1050,Trinity,960,3074,425,,,
G0601070,1970,California,6,60,Tulare County,107,1070,Tulare,37193,54147,7074,,,
G0601090,1970,California,6,60,Tuolumne County,109,1090,Tuolumne,2706,9868,1087,,,
G0601110,1970,California,6,60,Ventura County,111,1110,Ventura,35512,130023,23283,,,
G0601130,1970,California,6,60,Yolo County,113,1130,Yolo,10064,26335,8224,,,
G0601150,1970,California,6,60,Yuba County,115,1150,Yuba,5292,14396,1746,,,
G0800010,1970,Colorado,8,80,Adams County,1,10,Adams,14890,64495,7438,,,
G0800030,1970,Colorado,8,80,Alamosa County,3,30,Alamosa,1183,3044,916,,,
G0800050,1970,Colorado,8,80,Arapahoe County,5,50,Arapahoe,8969,55673,17713,,,
G0800070,1970,Colorado,8,80,Archuleta County,7,70,Archuleta,469,822,81,,,
G0800090,1970,Colorado,8,80,Baca County,9,90,Baca,1140,1896,231,,,
G0800110,1970,Colorado,8,80,Bent County,11,110,Bent,1441,2166,228,,,
G0800130,1970,Colorado,8,80,Boulder County,13,130,Boulder,7936,38757,16821,,,
G0800150,1970,Colorado,8,80,Chaffee County,15,150,Chaffee,1164,3864,438,,,
G0800170,1970,Colorado,8,80,Cheyenne County,17,170,Cheyenne,462,854,83,,,
G0800190,1970,Colorado,8,80,Clear Creek County,19,190,Clear Creek,394,1913,346,,,
G0800210,1970,Colorado,8,80,Conejos County,21,210,Conejos,1589,1817,194,,,
G0800230,1970,Colorado,8,80,Costilla County,23,230,Costilla,731,690,119,,,
G0800250,1970,Colorado,8,80,Crowley County,25,250,Crowley,757,1012,100,,,
G0800270,1970,Colorado,8,80,Custer County,27,270,Custer,189,461,38,,,
G0800290,1970,Colorado,8,80,Delta County,29,290,Delta,3043,5789,682,,,
G0800310,1970,Colorado,8,80,Denver County,31,310,Denver,60974,180882,44476,,,
G0800330,1970,Colorado,8,80,Dolores County,33,330,Dolores,297,534,19,,,
G0800350,1970,Colorado,8,80,Douglas County,35,350,Douglas,684,2958,837,,,
G0800370,1970,Colorado,8,80,Eagle County,37,370,Eagle,767,2488,442,,,
G0800390,1970,Colorado,8,80,Elbert County,39,390,Elbert,667,1443,177,,,
G0800410,1970,Colorado,8,80,El Paso County,41,410,El Paso,14262,75451,17701,,,
G0800430,1970,Colorado,8,80,Fremont County,43,430,Fremont,3872,8723,937,,,
G0800450,1970,Colorado,8,80,Garfield County,45,450,Garfield,1837,5661,833,,,
G0800470,1970,Colorado,8,80,Gilpin County,47,470,Gilpin,162,505,70,,,
G0800490,1970,Colorado,8,80,Grand County,49,490,Grand,465,1633,243,,,
G0800510,1970,Colorado,8,80,Gunnison County,51,510,Gunnison,488,1762,704,,,
G0800530,1970,Colorado,8,80,Hinsdale County,53,530,Hinsdale,24,53,7,,,
G0800550,1970,Colorado,8,80,Huerfano County,55,550,Huerfano,1831,1842,265,,,
G0800570,1970,Colorado,8,80,Jackson County,57,570,Jackson,242,605,86,,,
G0800590,1970,Colorado,8,80,Jefferson County,59,590,Jefferson,14102,83705,24124,,,
G0800610,1970,Colorado,8,80,Kiowa County,61,610,Kiowa,274,778,52,,,
G0800630,1970,Colorado,8,80,Kit Carson County,63,630,Kit Carson,1292,2668,294,,,
G0800650,1970,Colorado,8,80,Lake County,65,650,Lake,859,2818,286,,,
G0800670,1970,Colorado,8,80,La Plata County,67,670,La Plata,2107,6575,1170,,,
G0800690,1970,Colorado,8,80,Larimer County,69,690,Larimer,7955,27234,8523,,,
G0800710,1970,Colorado,8,80,Las Animas County,71,710,Las Animas,3785,4475,514,,,
G0800730,1970,Colorado,8,80,Lincoln County,73,730,Lincoln,820,1878,160,,,
G0800750,1970,Colorado,8,80,Logan County,75,750,Logan,2656,6272,869,,,
G0800770,1970,Colorado,8,80,Mesa County,77,770,Mesa,7090,20094,3176,,,
G0800790,1970,Colorado,8,80,Mineral County,79,790,Mineral,62,356,53,,,
G0800810,1970,Colorado,8,80,Moffat County,81,810,Moffat,826,2422,333,,,
G0800830,1970,Colorado,8,80,Montezuma County,83,830,Montezuma,2184,4091,535,,,
G0800850,1970,Colorado,8,80,Montrose County,85,850,Montrose,2906,6213,875,,,
G0800870,1970,Colorado,8,80,Morgan County,87,870,Morgan,3435,6544,891,,,
G0800890,1970,Colorado,8,80,Otero County,89,890,Otero,4240,7422,889,,,
G0800910,1970,Colorado,8,80,Ouray County,91,910,Ouray,203,661,98,,,
G0800930,1970,Colorado,8,80,Park County,93,930,Park,278,791,184,,,
G0800950,1970,Colorado,8,80,Phillips County,95,950,Phillips,712,1618,216,,,
G0800970,1970,Colorado,8,80,Pitkin County,97,970,Pitkin,243,1909,1216,,,
G0800990,1970,Colorado,8,80,Prowers County,99,990,Prowers,2063,4284,513,,,
G0801010,1970,Colorado,8,80,Pueblo County,101,1010,Pueblo,19055,37703,4977,,,
G0801030,1970,Colorado,8,80,Rio Blanco County,103,1030,Rio Blanco,468,1828,236,,,
G0801050,1970,Colorado,8,80,Rio Grande County,105,1050,Rio Grande,1771,3152,554,,,
G0801070,1970,Colorado,8,80,Routt County,107,1070,Routt,675,2362,555,,,
G0801090,1970,Colorado,8,80,Saguache County,109,1090,Saguache,739,1139,90,,,
G0801110,1970,Colorado,8,80,San Juan County,111,1110,San Juan,118,258,80,,,
G0801130,1970,Colorado,8,80,San Miguel County,113,1130,San Miguel,293,665,41,,,
G0801150,1970,Colorado,8,80,Sedgwick County,115,1150,Sedgwick,651,1209,158,,,
G0801170,1970,Colorado,8,80,Summit County,117,1170,Summit,205,924,251,,,
G0801190,1970,Colorado,8,80,Teller County,119,1190,Teller,204,1466,246,,,
G0801210,1970,Colorado,8,80,Washington County,121,1210,Washington,1084,1912,271,,,
G0801230,1970,Colorado,8,80,Weld County,123,1230,Weld,11989,26547,5237,,,
G0801250,1970,Colorado,8,80,Yuma County,125,1250,Yuma,1760,3013,434,,,
G0900010,1970,Connecticut,9,90,Fairfield County,1,10,Fairfield,108606,263123,79488,,,
G0900030,1970,Connecticut,9,90,Hartford County,3,30,Hartford,116914,278692,59219,,,
G0900050,1970,Connecticut,9,90,Litchfield County,5,50,Litchfield,22540,49917,9838,,,
G0900070,1970,Connecticut,9,90,Middlesex County,7,70,Middlesex,15954,40569,7763,,,
G0900090,1970,Connecticut,9,90,New Haven County,9,90,New Haven,115416,252408,48557,,,
G0900110,1970,Connecticut,9,90,New London County,11,110,New London,31802,74966,13334,,,
G0900130,1970,Connecticut,9,90,Tolland County,13,130,Tolland,11358,30526,8397,,,
G0900150,1970,Connecticut,9,90,Windham County,15,150,Windham,17115,25389,3707,,,
