GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,SMSAA,URB_AREAA,BLOCKA,CDA,AREANAME,CG7001,CG7002,CG7003,CG7004,CG7005,CG7006,CG7007,CG7008,CG7009,CG7010,CG7011
"G1801790","1970","Indiana","18","Wells","179",,,,,,,,,"Wells",296,433,523,505,388,404,274,353,314,86,43
"G1801810","1970","Indiana","18","White","181",,,,,,,,,"White",297,524,560,609,432,432,277,326,247,82,27
"G1801830","1970","Indiana","18","Whitley","183",,,,,,,,,"Whitley",230,441,535,648,463,453,272,367,216,50,21
"G1900010","1970","Iowa","19","Adair","001",,,,,,,,,"Adair",326,272,229,181,82,82,58,62,22,8,3
"G1900030","1970","Iowa","19","Adams","003",,,,,,,,,"Adams",292,141,89,78,49,46,32,34,28,3,2
"G1900050","1970","Iowa","19","Allamakee","005",,,,,,,,,"Allamakee",195,287,297,345,233,216,127,144,71,12,4
"G1900070","1970","Iowa","19","Appanoose","007",,,,,,,,,"Appanoose",1022,564,365,220,133,141,90,92,61,29,4
"G1900090","1970","Iowa","19","Audubon","009",,,,,,,,,"Audubon",180,236,232,249,159,120,93,98,49,10,0
"G1900110","1970","Iowa","19","Benton","011",,,,,,,,,"Benton",450,624,615,565,364,351,234,360,150,37,4
"G1900130","1970","Iowa","19","Black Hawk","013",,,,,"8920",,,,"Black Hawk",616,1407,2533,3316,3433,3562,3200,3665,2557,757,228
"G1900150","1970","Iowa","19","Boone","015",,,,,,,,,"Boone",489,725,810,761,478,421,301,342,213,75,18
"G1900170","1970","Iowa","19","Bremer","017",,,,,,,,,"Bremer",126,270,403,473,410,449,379,605,300,70,16
"G1900190","1970","Iowa","19","Buchanan","019",,,,,,,,,"Buchanan",359,532,523,426,271,269,204,254,105,19,7
"G1900210","1970","Iowa","19","Buena Vista","021",,,,,,,,,"Buena Vista",341,440,380,445,381,381,344,347,254,91,24
"G1900230","1970","Iowa","19","Butler","023",,,,,,,,,"Butler",271,434,472,435,327,264,191,222,80,15,3
"G1900250","1970","Iowa","19","Calhoun","025",,,,,,,,,"Calhoun",507,480,423,319,219,173,137,151,67,16,7
"G1900270","1970","Iowa","19","Carroll","027",,,,,,,,,"Carroll",448,515,464,439,392,372,362,387,198,68,26
"G1900290","1970","Iowa","19","Cass","029",,,,,,,,,"Cass",427,419,391,371,279,254,249,240,185,48,21
"G1900310","1970","Iowa","19","Cedar","031",,,,,,,,,"Cedar",187,311,317,372,297,279,237,277,193,51,14
"G1900330","1970","Iowa","19","Cerro Gordo","033",,,,,,,,,"Cerro Gordo",432,826,1228,1499,1396,1283,938,1061,785,325,96
"G1900350","1970","Iowa","19","Cherokee","035",,,,,,,,,"Cherokee",206,341,381,345,259,223,273,294,180,46,15
"G1900370","1970","Iowa","19","Chickasaw","037",,,,,,,,,"Chickasaw",145,292,326,325,197,193,160,227,101,23,4
"G1900390","1970","Iowa","19","Clarke","039",,,,,,,,,"Clarke",315,218,167,154,97,65,54,73,40,9,7
"G1900410","1970","Iowa","19","Clay","041",,,,,,,,,"Clay",270,341,298,389,358,324,277,333,260,86,29
"G1900430","1970","Iowa","19","Clayton","043",,,,,,,,,"Clayton",448,524,461,463,310,232,163,156,77,22,4
"G1900450","1970","Iowa","19","Clinton","045",,,,,,,,,"Clinton",399,915,1307,1555,1279,1181,1034,1291,947,275,58
"G1900470","1970","Iowa","19","Crawford","047",,,,,,,,,"Crawford",354,450,368,357,261,242,209,280,139,36,2
"G1900490","1970","Iowa","19","Dallas","049",,,,,,,,,"Dallas",428,597,694,665,415,435,400,500,242,46,8
"G1900510","1970","Iowa","19","Davis","051",,,,,,,,,"Davis",211,193,164,116,67,76,53,84,53,8,7
"G1900530","1970","Iowa","19","Decatur","053",,,,,,,,,"Decatur",541,304,169,131,78,66,39,62,34,8,0
"G1900550","1970","Iowa","19","Delaware","055",,,,,,,,,"Delaware",297,368,362,319,226,225,140,213,107,19,7
"G1900570","1970","Iowa","19","Des Moines","057",,,,,,,,,"Des Moines",321,754,1171,1503,1471,1080,806,1048,680,221,84
"G1900590","1970","Iowa","19","Dickinson","059",,,,,,,,,"Dickinson",203,277,329,326,235,277,179,234,189,91,55
"G1900610","1970","Iowa","19","Dubuque","061",,,,,"2200",,,,"Dubuque",180,533,1021,1567,1703,1672,1960,2865,1728,457,197
"G1900630","1970","Iowa","19","Emmet","063",,,,,,,,,"Emmet",225,302,345,371,272,292,186,209,113,38,8
"G1900650","1970","Iowa","19","Fayette","065",,,,,,,,,"Fayette",590,754,639,619,424,358,276,321,192,51,11
"G1900670","1970","Iowa","19","Floyd","067",,,,,,,,,"Floyd",226,365,436,498,407,396,336,431,283,84,13
"G1900690","1970","Iowa","19","Franklin","069",,,,,,,,,"Franklin",257,284,278,257,228,193,157,182,125,31,10
"G1900710","1970","Iowa","19","Fremont","071",,,,,,,,,"Fremont",464,285,196,162,105,96,40,50,30,8,6
"G1900730","1970","Iowa","19","Greene","073",,,,,,,,,"Greene",298,421,325,276,179,187,117,180,81,18,1
"G1900750","1970","Iowa","19","Grundy","075",,,,,,,,,"Grundy",108,222,334,367,246,257,225,240,160,21,7
"G1900770","1970","Iowa","19","Guthrie","077",,,,,,,,,"Guthrie",446,432,375,226,138,95,68,77,19,12,5
"G1900790","1970","Iowa","19","Hamilton","079",,,,,,,,,"Hamilton",248,377,399,435,352,325,259,310,173,43,6
"G1900810","1970","Iowa","19","Hancock","081",,,,,,,,,"Hancock",253,366,328,277,205,174,127,149,76,14,0
"G1900830","1970","Iowa","19","Hardin","083",,,,,,,,,"Hardin",382,540,592,517,462,424,342,344,227,73,12
"G1900850","1970","Iowa","19","Harrison","085",,,,,,,,,"Harrison",500,548,467,316,194,156,95,116,56,15,2
"G1900870","1970","Iowa","19","Henry","087",,,,,,,,,"Henry",328,365,380,385,278,262,255,338,220,49,10
"G1900890","1970","Iowa","19","Howard","089",,,,,,,,,"Howard",270,336,295,247,180,124,82,102,63,16,3
"G1900910","1970","Iowa","19","Humboldt","091",,,,,,,,,"Humboldt",294,277,239,209,199,215,205,211,125,46,15
"G1900930","1970","Iowa","19","Ida","093",,,,,,,,,"Ida",144,207,239,216,126,116,101,115,46,12,6
"G1900950","1970","Iowa","19","Iowa","095",,,,,,,,,"Iowa",237,335,306,325,207,180,165,220,163,40,10
"G1900970","1970","Iowa","19","Jackson","097",,,,,,,,,"Jackson",230,379,456,467,339,291,231,268,131,33,5
"G1900990","1970","Iowa","19","Jasper","099",,,,,,,,,"Jasper",485,778,972,1102,911,631,434,611,373,119,36
"G1901010","1970","Iowa","19","Jefferson","101",,,,,,,,,"Jefferson",256,329,322,283,235,210,192,279,169,61,11
"G1901030","1970","Iowa","19","Johnson","103",,,,,,,,,"Johnson",138,212,276,450,557,750,1023,1748,1875,920,288
"G1901050","1970","Iowa","19","Jones","105",,,,,,,,,"Jones",265,348,378,374,299,286,277,321,167,29,7
"G1901070","1970","Iowa","19","Keokuk","107",,,,,,,,,"Keokuk",758,502,327,233,135,103,64,89,40,3,4
"G1901090","1970","Iowa","19","Kossuth","109",,,,,,,,,"Kossuth",470,553,462,438,310,255,205,281,147,45,16
"G1901110","1970","Iowa","19","Lee","111",,,,,,,,,"Lee",709,1172,1192,1229,864,727,486,687,471,168,73
"G1901130","1970","Iowa","19","Linn","113",,,,,"1360",,,,"Linn",334,775,1615,2859,4069,4840,5192,6495,3756,1117,458
"G1901150","1970","Iowa","19","Louisa","115",,,,,,,,,"Louisa",276,295,249,225,146,148,83,132,50,16,1
"G1901170","1970","Iowa","19","Lucas","117",,,,,,,,,"Lucas",384,325,266,198,108,109,76,89,63,25,7
"G1901190","1970","Iowa","19","Lyon","119",,,,,,,,,"Lyon",289,344,291,252,182,155,125,133,60,12,2
"G1901210","1970","Iowa","19","Madison","121",,,,,,,,,"Madison",226,293,232,230,162,137,108,130,68,14,4
"G1901230","1970","Iowa","19","Mahaska","123",,,,,,,,,"Mahaska",566,696,586,529,354,283,178,242,164,53,21
"G1901250","1970","Iowa","19","Marion","125",,,,,,,,,"Marion",510,561,578,594,483,457,410,522,312,84,11
"G1901270","1970","Iowa","19","Marshall","127",,,,,,,,,"Marshall",368,709,903,1063,925,883,720,979,571,208,103
"G1901290","1970","Iowa","19","Mills","129",,,,,,,,,"Mills",312,301,256,214,156,153,123,144,58,21,6
"G1901310","1970","Iowa","19","Mitchell","131",,,,,,,,,"Mitchell",236,313,282,301,210,196,144,155,61,16,2
"G1901330","1970","Iowa","19","Monona","133",,,,,,,,,"Monona",441,406,264,238,133,101,78,111,34,12,7
"G1901350","1970","Iowa","19","Monroe","135",,,,,,,,,"Monroe",352,311,241,161,88,80,40,33,22,10,0
"G1901370","1970","Iowa","19","Montgomery","137",,,,,,,,,"Montgomery",426,360,314,323,213,213,166,209,99,15,13
"G1901390","1970","Iowa","19","Muscatine","139",,,,,,,,,"Muscatine",286,589,757,959,834,732,586,852,659,193,38
"G1901410","1970","Iowa","19","O Brien","141",,,,,,,,,"O>Brien",370,487,476,443,339,279,210,220,126,32,4
"G1901430","1970","Iowa","19","Osceola","143",,,,,,,,,"Osceola",255,242,199,186,124,104,86,103,39,8,1
"G1901450","1970","Iowa","19","Page","145",,,,,,,,,"Page",540,541,513,425,274,259,212,258,177,54,7
"G1901470","1970","Iowa","19","Palo Alto","147",,,,,,,,,"Palo Alto",372,350,310,270,183,150,112,121,86,21,10
"G1901490","1970","Iowa","19","Plymouth","149",,,,,,,,,"Plymouth",205,342,408,477,362,349,290,411,295,63,23
"G1901510","1970","Iowa","19","Pocahontas","151",,,,,,,,,"Pocahontas",325,342,265,227,156,151,141,172,73,10,8
"G1901530","1970","Iowa","19","Polk","153",,,,,"2120",,,,"Polk",1320,3498,6374,7886,7212,7182,6938,8851,6465,2332,793
"G1901550","1970","Iowa","19","Pottawattamie","155",,,,,"5920",,,,"Pottawattamie",952,1631,2415,3058,2433,2076,1375,1333,737,177,75
"G1901570","1970","Iowa","19","Poweshiek","157",,,,,,,,,"Poweshiek",386,407,369,346,240,247,190,290,222,55,17
"G1901590","1970","Iowa","19","Ringgold","159",,,,,,,,,"Ringgold",409,152,91,80,56,31,34,38,13,3,0
"G1901610","1970","Iowa","19","Sac","161",,,,,,,,,"Sac",345,470,414,383,226,228,133,204,118,27,7
"G1901630","1970","Iowa","19","Scott","163",,,,,"1960",,,,"Scott",221,545,1114,2460,3260,3683,3943,5744,3930,1204,418
"G1901650","1970","Iowa","19","Shelby","165",,,,,,,,,"Shelby",258,298,286,293,247,232,155,229,126,23,7
"G1901670","1970","Iowa","19","Sioux","167",,,,,,,,,"Sioux",425,535,609,602,492,424,363,470,299,76,17
"G1901690","1970","Iowa","19","Story","169",,,,,,,,,"Story",265,467,570,726,656,823,979,1601,1547,566,113
"G1901710","1970","Iowa","19","Tama","171",,,,,,,,,"Tama",414,538,479,499,330,250,191,246,142,39,5
"G1901730","1970","Iowa","19","Taylor","173",,,,,,,,,"Taylor",532,296,207,140,72,52,40,37,17,8,1
"G1901750","1970","Iowa","19","Union","175",,,,,,,,,"Union",482,441,385,305,241,200,164,198,94,30,5
"G1901770","1970","Iowa","19","Van Buren","177",,,,,,,,,"Van Buren",513,341,178,132,65,36,17,35,14,3,2
"G1901790","1970","Iowa","19","Wapello","179",,,,,,,,,"Wapello",1468,1828,1542,1263,811,624,412,413,289,100,40
"G1901810","1970","Iowa","19","Warren","181",,,,,,,,,"Warren",213,301,336,428,441,587,771,810,346,86,16
"G1901830","1970","Iowa","19","Washington","183",,,,,,,,,"Washington",332,464,431,430,341,294,241,276,121,39,8
"G1901850","1970","Iowa","19","Wayne","185",,,,,,,,,"Wayne",557,354,184,135,65,57,42,62,18,4,4
"G1901870","1970","Iowa","19","Webster","187",,,,,,,,,"Webster",497,708,958,1161,1133,985,816,1151,741,239,67
"G1901890","1970","Iowa","19","Winnebago","189",,,,,,,,,"Winnebago",207,240,261,306,221,213,184,248,112,30,11
"G1901910","1970","Iowa","19","Winneshiek","191",,,,,,,,,"Winneshiek",277,365,325,303,218,217,184,222,197,49,7
"G1901930","1970","Iowa","19","Woodbury","193",,,,,"7720",,,,"Woodbury",918,2000,2961,3451,2786,2177,1587,1694,1311,458,209
"G1901950","1970","Iowa","19","Worth","195",,,,,,,,,"Worth",152,215,243,224,123,114,78,89,50,13,1
"G1901970","1970","Iowa","19","Wright","197",,,,,,,,,"Wright",394,464,435,422,310,318,236,262,130,30,5
"G2000010","1970","Kansas","20","Allen","001",,,,,,,,,"Allen",1084,651,415,263,162,135,60,63,58,27,11
"G2000030","1970","Kansas","20","Anderson","003",,,,,,,,,"Anderson",415,273,214,170,88,81,56,71,34,17,1
"G2000050","1970","Kansas","20","Atchison","005",,,,,,,,,"Atchison",514,620,514,367,247,199,136,151,98,42,8
"G2000070","1970","Kansas","20","Barber","007",,,,,,,,,"Barber",439,257,183,132,106,67,48,48,36,13,2
"G2000090","1970","Kansas","20","Barton","009",,,,,,,,,"Barton",611,773,744,856,720,525,380,499,331,135,52
"G2000110","1970","Kansas","20","Bourbon","011",,,,,,,,,"Bourbon",753,609,374,296,179,135,98,125,98,18,9
"G2000130","1970","Kansas","20","Brown","013",,,,,,,,,"Brown",565,403,302,227,159,125,88,114,61,21,4
"G2000150","1970","Kansas","20","Butler","015",,,,,"9040",,,,"Butler",758,960,1097,1119,802,598,372,446,284,82,24
"G2000170","1970","Kansas","20","Chase","017",,,,,,,,,"Chase",190,115,87,60,39,26,11,23,6,0,0
"G2000190","1970","Kansas","20","Chautauqua","019",,,,,,,,,"Chautauqua",499,175,108,75,36,18,13,12,3,4,0
"G2000210","1970","Kansas","20","Cherokee","021",,,,,,,,,"Cherokee",1787,947,563,366,216,159,92,111,52,8,2
"G2000230","1970","Kansas","20","Cheyenne","023",,,,,,,,,"Cheyenne",146,163,116,89,47,45,34,37,27,7,1
"G2000250","1970","Kansas","20","Clark","025",,,,,,,,,"Clark",163,120,77,76,28,35,29,26,18,7,0
"G2000270","1970","Kansas","20","Clay","027",,,,,,,,,"Clay",399,294,252,242,174,143,111,136,79,27,8
"G2000290","1970","Kansas","20","Cloud","029",,,,,,,,,"Cloud",598,412,393,294,199,157,129,130,49,25,11
"G2000310","1970","Kansas","20","Coffey","031",,,,,,,,,"Coffey",468,299,163,114,74,62,26,28,19,4,1
"G2000330","1970","Kansas","20","Comanche","033",,,,,,,,,"Comanche",172,124,68,49,36,23,13,12,12,3,0
"G2000350","1970","Kansas","20","Cowley","035",,,,,,,,,"Cowley",1160,1278,1074,953,612,466,314,400,244,95,18
"G2000370","1970","Kansas","20","Crawford","037",,,,,,,,,"Crawford",2857,1707,1024,683,481,320,226,315,261,89,37
"G2000390","1970","Kansas","20","Decatur","039",,,,,,,,,"Decatur",282,131,86,87,52,48,39,43,29,9,2
"G2000410","1970","Kansas","20","Dickinson","041",,,,,,,,,"Dickinson",760,674,574,470,332,255,152,190,119,26,12
"G2000430","1970","Kansas","20","Doniphan","043",,,,,,,,,"Doniphan",371,278,201,143,80,82,40,45,16,4,3
"G2000450","1970","Kansas","20","Douglas","045",,,,,,,,,"Douglas",338,573,754,861,853,822,740,980,928,329,130
"G2000470","1970","Kansas","20","Edwards","047",,,,,,,,,"Edwards",237,207,115,115,58,51,36,28,14,7,0
"G2000490","1970","Kansas","20","Elk","049",,,,,,,,,"Elk",396,163,101,39,14,13,9,3,1,1,1
"G2000510","1970","Kansas","20","Ellis","051",,,,,,,,,"Ellis",376,341,359,413,433,391,348,363,262,72,40
"G2000530","1970","Kansas","20","Ellsworth","053",,,,,,,,,"Ellsworth",454,295,172,115,91,63,29,46,16,6,0
"G2000550","1970","Kansas","20","Finney","055",,,,,,,,,"Finney",190,243,337,425,471,387,228,346,258,95,19
"G2000570","1970","Kansas","20","Ford","057",,,,,,,,,"Ford",394,494,550,521,370,349,273,428,281,102,30
"G2000590","1970","Kansas","20","Franklin","059",,,,,,,,,"Franklin",561,672,575,482,351,257,162,198,125,35,1
"G2000610","1970","Kansas","20","Geary","061",,,,,,,,,"Geary",123,182,325,458,444,371,307,349,213,53,22
"G2000630","1970","Kansas","20","Gove","063",,,,,,,,,"Gove",163,86,74,62,47,39,20,36,20,6,0
"G2000650","1970","Kansas","20","Graham","065",,,,,,,,,"Graham",191,125,76,85,68,44,19,32,12,7,1
"G2000670","1970","Kansas","20","Grant","067",,,,,,,,,"Grant",18,52,94,97,102,95,54,89,50,24,10
"G2000690","1970","Kansas","20","Gray","069",,,,,,,,,"Gray",109,133,98,69,44,54,32,56,27,7,0
"G2000710","1970","Kansas","20","Greeley","071",,,,,,,,,"Greeley",38,24,28,39,16,18,22,16,20,6,3
"G2000730","1970","Kansas","20","Greenwood","073",,,,,,,,,"Greenwood",611,398,201,172,89,61,44,46,37,10,4
"G2000750","1970","Kansas","20","Hamilton","075",,,,,,,,,"Hamilton",77,83,49,43,46,32,22,44,22,13,4
"G2000770","1970","Kansas","20","Harper","077",,,,,,,,,"Harper",463,302,219,160,121,84,46,58,52,14,9
"G2000790","1970","Kansas","20","Harvey","079",,,,,,,,,"Harvey",366,669,699,821,572,492,399,436,259,107,7
"G2000810","1970","Kansas","20","Haskell","081",,,,,,,,,"Haskell",40,74,82,72,54,50,30,38,32,7,4
"G2000830","1970","Kansas","20","Hodgeman","083",,,,,,,,,"Hodgeman",60,58,62,50,25,35,16,16,8,2,0
"G2000850","1970","Kansas","20","Jackson","085",,,,,,,,,"Jackson",259,261,223,193,129,78,59,76,35,10,2
"G2000870","1970","Kansas","20","Jefferson","087",,,,,,,,,"Jefferson",217,274,289,230,148,148,86,124,86,19,6
"G2000890","1970","Kansas","20","Jewell","089",,,,,,,,,"Jewell",522,194,105,67,20,16,16,12,10,1,3
"G2000910","1970","Kansas","20","Johnson","091",,,,,"3760",,,,"Johnson",236,569,890,2765,4327,5359,5596,8663,9913,5517,2431
"G2000930","1970","Kansas","20","Kearny","093",,,,,,,,,"Kearny",63,75,63,72,43,35,18,31,15,4,4
"G2000950","1970","Kansas","20","Kingman","095",,,,,,,,,"Kingman",341,263,229,172,89,71,62,49,40,7,2
"G2000970","1970","Kansas","20","Kiowa","097",,,,,,,,,"Kiowa",141,136,93,96,59,58,37,53,34,10,1
"G2000990","1970","Kansas","20","Labette","099",,,,,,,,,"Labette",1421,1182,797,531,302,222,126,146,106,24,7
"G2001010","1970","Kansas","20","Lane","101",,,,,,,,,"Lane",49,64,88,75,57,42,21,33,33,8,1
"G2001030","1970","Kansas","20","Leavenworth","103",,,,,,,,,"Leavenworth",526,892,982,1011,761,657,512,541,332,109,27
"G2001050","1970","Kansas","20","Lincoln","105",,,,,,,,,"Lincoln",324,160,90,86,45,32,24,26,12,2,3
"G2001070","1970","Kansas","20","Linn","107",,,,,,,,,"Linn",462,259,129,99,54,40,27,34,17,3,0
"G2001090","1970","Kansas","20","Logan","109",,,,,,,,,"Logan",103,101,83,89,65,67,55,48,21,8,3
"G2001110","1970","Kansas","20","Lyon","111",,,,,,,,,"Lyon",455,585,598,602,467,481,368,481,352,96,26
"G2001130","1970","Kansas","20","McPherson","113",,,,,,,,,"Mc Pherson",521,628,540,629,459,427,312,388,248,50,28
"G2001150","1970","Kansas","20","Marion","115",,,,,,,,,"Marion",662,464,385,262,192,149,94,102,44,11,8
"G2001170","1970","Kansas","20","Marshall","117",,,,,,,,,"Marshall",842,443,284,261,171,119,76,77,56,21,2
"G2001190","1970","Kansas","20","Meade","119",,,,,,,,,"Meade",146,162,126,104,72,54,52,75,40,21,0
"G2001210","1970","Kansas","20","Miami","121",,,,,,,,,"Miami",350,534,464,359,229,207,169,157,99,21,7
"G2001230","1970","Kansas","20","Mitchell","123",,,,,,,,,"Mitchell",407,297,214,149,108,95,66,94,44,24,3
"G2001250","1970","Kansas","20","Montgomery","125",,,,,,,,,"Montgomery",2741,1945,1352,859,511,355,234,289,189,54,18
"G2001270","1970","Kansas","20","Morris","127",,,,,,,,,"Morris",362,239,140,102,53,49,24,37,22,9,4
"G2001290","1970","Kansas","20","Morton","129",,,,,,,,,"Morton",90,68,62,68,72,58,46,37,24,5,4
"G2001310","1970","Kansas","20","Nemaha","131",,,,,,,,,"Nemaha",498,339,240,252,127,86,57,82,53,9,3
"G2001330","1970","Kansas","20","Neosho","133",,,,,,,,,"Neosho",777,812,560,448,298,193,134,169,111,34,6
"G2001350","1970","Kansas","20","Ness","135",,,,,,,,,"Ness",210,153,113,104,59,63,37,39,40,7,2
"G2001370","1970","Kansas","20","Norton","137",,,,,,,,,"Norton",383,214,157,142,101,94,75,61,45,17,2
"G2001390","1970","Kansas","20","Osage","139",,,,,,,,,"Osage",474,464,313,300,176,122,84,85,65,9,3
"G2001410","1970","Kansas","20","Osborne","141",,,,,,,,,"Osborne",477,228,164,103,75,61,29,64,31,7,1
"G2001430","1970","Kansas","20","Ottawa","143",,,,,,,,,"Ottawa",426,211,152,117,73,46,32,38,15,9,1
"G2001450","1970","Kansas","20","Pawnee","145",,,,,,,,,"Pawnee",185,233,242,219,143,117,73,109,96,38,6
"G2001470","1970","Kansas","20","Phillips","147",,,,,,,,,"Phillips",472,248,184,157,96,84,54,59,39,7,2
"G2001490","1970","Kansas","20","Pottawatomie","149",,,,,,,,,"Pottawatomie",417,353,253,246,146,158,74,112,66,20,6
"G2001510","1970","Kansas","20","Pratt","151",,,,,,,,,"Pratt",452,287,286,249,179,128,101,103,78,32,11
"G2001530","1970","Kansas","20","Rawlins","153",,,,,,,,,"Rawlins",192,99,68,55,43,40,19,30,16,10,7
"G2001550","1970","Kansas","20","Reno","155",,,,,,,,,"Reno",1403,1736,1862,1710,1377,1049,748,961,681,217,102
"G2001570","1970","Kansas","20","Republic","157",,,,,,,,,"Republic",591,245,181,150,105,83,49,52,31,15,8
"G2001590","1970","Kansas","20","Rice","159",,,,,,,,,"Rice",777,484,344,254,145,102,75,89,61,12,2
"G2001610","1970","Kansas","20","Riley","161",,,,,,,,,"Riley",138,229,339,464,474,571,503,650,680,270,62
"G2001630","1970","Kansas","20","Rooks","163",,,,,,,,,"Rooks",441,288,194,177,102,64,44,51,27,14,4
"G2001650","1970","Kansas","20","Rush","165",,,,,,,,,"Rush",378,211,133,88,58,45,33,30,17,3,1
"G2001670","1970","Kansas","20","Russell","167",,,,,,,,,"Russell",466,352,291,241,173,116,83,99,84,25,7
"G2001690","1970","Kansas","20","Saline","169",,,,,,,,,"Saline",686,1029,1197,1359,1049,906,753,623,530,214,80
"G2001710","1970","Kansas","20","Scott","171",,,,,,,,,"Scott",76,96,112,133,107,107,64,102,92,27,9
"G2001730","1970","Kansas","20","Sedgwick","173",,,,,"9040",,,,"Sedgwick",2126,4683,8418,12111,10238,7252,4917,5952,5318,1908,888
"G2001750","1970","Kansas","20","Seward","175",,,,,,,,,"Seward",180,255,337,438,427,326,197,218,177,60,19
"G2001770","1970","Kansas","20","Shawnee","177",,,,,"8440",,,,"Shawnee",1219,2124,3346,4208,3529,3578,2638,3188,2531,995,367
"G2001790","1970","Kansas","20","Sheridan","179",,,,,,,,,"Sheridan",142,95,54,56,18,36,17,33,14,6,0
"G2001810","1970","Kansas","20","Sherman","181",,,,,,,,,"Sherman",191,170,187,163,128,117,90,101,74,23,7
"G2001830","1970","Kansas","20","Smith","183",,,,,,,,,"Smith",541,217,138,85,47,71,32,45,20,6,1
"G2001850","1970","Kansas","20","Stafford","185",,,,,,,,,"Stafford",322,243,218,126,83,57,35,46,33,8,1
"G2001870","1970","Kansas","20","Stanton","187",,,,,,,,,"Stanton",41,26,25,28,26,26,16,25,16,10,5
"G2001890","1970","Kansas","20","Stevens","189",,,,,,,,,"Stevens",73,99,98,109,76,80,53,60,47,21,7
"G2001910","1970","Kansas","20","Sumner","191",,,,,,,,,"Sumner",884,839,764,572,383,268,155,172,116,31,14
"G2001930","1970","Kansas","20","Thomas","193",,,,,,,,,"Thomas",151,132,163,128,122,140,98,135,73,31,6
"G2001950","1970","Kansas","20","Trego","195",,,,,,,,,"Trego",122,112,112,124,57,44,36,42,18,6,1
"G2001970","1970","Kansas","20","Wabaunsee","197",,,,,,,,,"Wabaunsee",264,241,151,111,46,42,28,22,14,1,1
"G2001990","1970","Kansas","20","Wallace","199",,,,,,,,,"Wallace",63,44,44,35,25,26,12,17,9,6,0
"G2002010","1970","Kansas","20","Washington","201",,,,,,,,,"Washington",641,326,196,130,65,48,20,28,17,2,1
"G2002030","1970","Kansas","20","Wichita","203",,,,,,,,,"Wichita",35,51,46,53,29,28,19,41,33,18,2
"G2002050","1970","Kansas","20","Wilson","205",,,,,,,,,"Wilson",785,527,350,225,130,87,41,60,34,12,2
"G2002070","1970","Kansas","20","Woodson","207",,,,,,,,,"Woodson",234,204,129,80,42,32,19,22,16,3,0
"G2002090","1970","Kansas","20","Wyandotte","209",,,,,"3760",,,,"Wyandotte",2474,4652,6337,7059,4868,3775,2610,2738,1485,322,110
"G2100010","1970","Kentucky","21","Adair","001",,,,,,,,,"Adair",445,249,170,184,119,101,71,68,30,8,9
"G2100030","1970","Kentucky","21","Allen","003",,,,,,,,,"Allen",393,247,202,186,123,113,50,62,36,11,3
"G2100050","1970","Kentucky","21","Anderson","005",,,,,,,,,"Anderson",160,149,175,192,169,197,146,122,67,20,1
"G2100070","1970","Kentucky","21","Ballard","007",,,,,,,,,"Ballard",452,293,182,126,75,49,54,59,41,10,1
"G2100090","1970","Kentucky","21","Barren","009",,,,,,,,,"Barren",527,499,550,490,370,324,248,269,182,69,30
"G2100110","1970","Kentucky","21","Bath","011",,,,,,,,,"Bath",335,199,137,109,75,61,43,55,34,1,0
"G2100130","1970","Kentucky","21","Bell","013",,,,,,,,,"Bell",2127,729,421,383,211,161,120,203,128,63,21
"G2100150","1970","Kentucky","21","Boone","015",,,,,"1640",,,,"Boone",140,228,322,627,727,866,799,906,548,134,47
"G2100170","1970","Kentucky","21","Bourbon","017",,,,,,,,,"Bourbon",309,347,322,329,279,313,184,227,161,44,18
"G2100190","1970","Kentucky","21","Boyd","019",,,,,"3400",,,,"Boyd",848,1207,1428,1462,1400,979,827,963,704,267,92
"G2100210","1970","Kentucky","21","Boyle","021",,,,,,,,,"Boyle",467,433,446,479,394,341,262,298,324,123,34
"G2100230","1970","Kentucky","21","Bracken","023",,,,,,,,,"Bracken",153,142,109,95,79,62,39,37,13,2,1
"G2100250","1970","Kentucky","21","Breathitt","025",,,,,,,,,"Breathitt",568,141,88,73,23,35,15,29,23,13,2
"G2100270","1970","Kentucky","21","Breckinridge","027",,,,,,,,,"Breckinridge",447,375,256,224,126,103,64,73,31,8,7
"G2100290","1970","Kentucky","21","Bullitt","029",,,,,,,,,"Bullitt",399,447,486,776,737,521,242,267,142,32,4
"G2100310","1970","Kentucky","21","Butler","031",,,,,,,,,"Butler",429,202,112,97,51,48,25,25,12,3,0
"G2100330","1970","Kentucky","21","Caldwell","033",,,,,,,,,"Caldwell",517,400,281,284,144,117,73,96,44,29,9
"G2100350","1970","Kentucky","21","Calloway","035",,,,,,,,,"Calloway",332,381,425,479,390,408,336,419,363,138,34
"G2100370","1970","Kentucky","21","Campbell","037",,,,,"1640",,,,"Campbell",361,1154,1914,2234,1868,2019,1658,1810,1093,363,127
"G2100390","1970","Kentucky","21","Carlisle","039",,,,,,,,,"Carlisle",217,203,116,83,57,39,15,36,6,0,0
"G2100410","1970","Kentucky","21","Carroll","041",,,,,,,,,"Carroll",167,174,149,184,117,110,58,91,54,22,3
"G2100430","1970","Kentucky","21","Carter","043",,,,,,,,,"Carter",774,447,258,231,148,142,98,135,79,22,9
"G2100450","1970","Kentucky","21","Casey","045",,,,,,,,,"Casey",407,242,152,98,55,61,34,40,27,6,1
