GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GB7001
"G4600630","2000","2","4","South Dakota","46","Harding","063",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Harding County",47100
"G4600650","2000","2","4","South Dakota","46","Hughes","065",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Hughes County",94400
"G4600670","2000","2","4","South Dakota","46","Hutchinson","067",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Hutchinson County",42000
"G4600690","2000","2","4","South Dakota","46","Hyde","069",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Hyde County",33800
"G4600710","2000","2","4","South Dakota","46","Jackson","071",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Jackson County",31500
"G4600730","2000","2","4","South Dakota","46","Jerauld","073",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Jerauld County",39000
"G4600750","2000","2","4","South Dakota","46","Jones","075",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Jones County",38700
"G4600770","2000","2","4","South Dakota","46","Kingsbury","077",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Kingsbury County",42900
"G4600790","2000","2","4","South Dakota","46","Lake","079",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Lake County",73800
"G4600810","2000","2","4","South Dakota","46","Lawrence","081",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Lawrence County",87700
"G4600830","2000","2","4","South Dakota","46","Lincoln","083",,,,,,,,,,,,,"7760","9999","9999",,,,,,,,"Lincoln County",104100
"G4600850","2000","2","4","South Dakota","46","Lyman","085",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Lyman County",44100
"G4600870","2000","2","4","South Dakota","46","McCook","087",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"McCook County",57400
