GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AB2AA,AB2AAM
G3700330,2008-2012,North Carolina,37,370,Caswell County,33,330,"Caswell County, North Carolina",48471,4229
G3700350,2008-2012,North Carolina,37,370,Catawba County,35,350,"Catawba County, North Carolina",54106,1399
G3700370,2008-2012,North Carolina,37,370,Chatham County,37,370,"Chatham County, North Carolina",66268,3134
G3700390,2008-2012,North Carolina,37,370,Cherokee County,39,390,"Cherokee County, North Carolina",44218,2094
G3700410,2008-2012,North Carolina,37,370,Chowan County,41,410,"Chowan County, North Carolina",43835,5129
G3700430,2008-2012,North Carolina,37,370,Clay County,43,430,"Clay County, North Carolina",46201,7183
G3700450,2008-2012,North Carolina,37,370,Cleveland County,45,450,"Cleveland County, North Carolina",48191,1994
G3700470,2008-2012,North Carolina,37,370,Columbus County,47,470,"Columbus County, North Carolina",45602,2096
G3700490,2008-2012,North Carolina,37,370,Craven County,49,490,"Craven County, North Carolina",56148,1996
G3700510,2008-2012,North Carolina,37,370,Cumberland County,51,510,"Cumberland County, North Carolina",51800,1085
G3700530,2008-2012,North Carolina,37,370,Currituck County,53,530,"Currituck County, North Carolina",67932,5893
G3700550,2008-2012,North Carolina,37,370,Dare County,55,550,"Dare County, North Carolina",66679,2124
G3700570,2008-2012,North Carolina,37,370,Davidson County,57,570,"Davidson County, North Carolina",54667,1884
G3700590,2008-2012,North Carolina,37,370,Davie County,59,590,"Davie County, North Carolina",61971,3024
G3700610,2008-2012,North Carolina,37,370,Duplin County,61,610,"Duplin County, North Carolina",42254,2676
G3700630,2008-2012,North Carolina,37,370,Durham County,63,630,"Durham County, North Carolina",64930,1916
G3700650,2008-2012,North Carolina,37,370,Edgecombe County,65,650,"Edgecombe County, North Carolina",41605,2238
G3700670,2008-2012,North Carolina,37,370,Forsyth County,67,670,"Forsyth County, North Carolina",60094,1059
G3700690,2008-2012,North Carolina,37,370,Franklin County,69,690,"Franklin County, North Carolina",52504,2893
G3700710,2008-2012,North Carolina,37,370,Gaston County,71,710,"Gaston County, North Carolina",52484,1605
G3700730,2008-2012,North Carolina,37,370,Gates County,73,730,"Gates County, North Carolina",58699,5727
G3700750,2008-2012,North Carolina,37,370,Graham County,75,750,"Graham County, North Carolina",40143,4540
G3700770,2008-2012,North Carolina,37,370,Granville County,77,770,"Granville County, North Carolina",56275,2779
G3700790,2008-2012,North Carolina,37,370,Greene County,79,790,"Greene County, North Carolina",49753,4231
G3700810,2008-2012,North Carolina,37,370,Guilford County,81,810,"Guilford County, North Carolina",59244,1082
G3700830,2008-2012,North Carolina,37,370,Halifax County,83,830,"Halifax County, North Carolina",41838,2282
G3700850,2008-2012,North Carolina,37,370,Harnett County,85,850,"Harnett County, North Carolina",53589,1984
G3700870,2008-2012,North Carolina,37,370,Haywood County,87,870,"Haywood County, North Carolina",52291,2265
G3700890,2008-2012,North Carolina,37,370,Henderson County,89,890,"Henderson County, North Carolina",58806,1868
G3700910,2008-2012,North Carolina,37,370,Hertford County,91,910,"Hertford County, North Carolina",42911,3515
G3700930,2008-2012,North Carolina,37,370,Hoke County,93,930,"Hoke County, North Carolina",53088,2386
G3700950,2008-2012,North Carolina,37,370,Hyde County,95,950,"Hyde County, North Carolina",46250,9930
G3700970,2008-2012,North Carolina,37,370,Iredell County,97,970,"Iredell County, North Carolina",60641,1541
G3700990,2008-2012,North Carolina,37,370,Jackson County,99,990,"Jackson County, North Carolina",49097,3749
G3701010,2008-2012,North Carolina,37,370,Johnston County,101,1010,"Johnston County, North Carolina",59349,1875
G3701030,2008-2012,North Carolina,37,370,Jones County,103,1030,"Jones County, North Carolina",48720,2633
G3701050,2008-2012,North Carolina,37,370,Lee County,105,1050,"Lee County, North Carolina",55038,2384
G3701070,2008-2012,North Carolina,37,370,Lenoir County,107,1070,"Lenoir County, North Carolina",44509,2186
G3701090,2008-2012,North Carolina,37,370,Lincoln County,109,1090,"Lincoln County, North Carolina",60124,2219
G3701110,2008-2012,North Carolina,37,370,McDowell County,111,1110,"McDowell County, North Carolina",46827,2443
G3701130,2008-2012,North Carolina,37,370,Macon County,113,1130,"Macon County, North Carolina",46485,2969
G3701150,2008-2012,North Carolina,37,370,Madison County,115,1150,"Madison County, North Carolina",50041,3916
G3701170,2008-2012,North Carolina,37,370,Martin County,117,1170,"Martin County, North Carolina",45951,5516
G3701190,2008-2012,North Carolina,37,370,Mecklenburg County,119,1190,"Mecklenburg County, North Carolina",68238,991
G3701210,2008-2012,North Carolina,37,370,Mitchell County,121,1210,"Mitchell County, North Carolina",43922,2967
G3701230,2008-2012,North Carolina,37,370,Montgomery County,123,1230,"Montgomery County, North Carolina",41611,3708
G3701250,2008-2012,North Carolina,37,370,Moore County,125,1250,"Moore County, North Carolina",62699,2848
G3701270,2008-2012,North Carolina,37,370,Nash County,127,1270,"Nash County, North Carolina",54494,2428
G3701290,2008-2012,North Carolina,37,370,New Hanover County,129,1290,"New Hanover County, North Carolina",67853,1912
G3701310,2008-2012,North Carolina,37,370,Northampton County,131,1310,"Northampton County, North Carolina",36585,3279
G3701330,2008-2012,North Carolina,37,370,Onslow County,133,1330,"Onslow County, North Carolina",50533,1372
G3701350,2008-2012,North Carolina,37,370,Orange County,135,1350,"Orange County, North Carolina",83967,3178
G3701370,2008-2012,North Carolina,37,370,Pamlico County,137,1370,"Pamlico County, North Carolina",55110,2445
G3701390,2008-2012,North Carolina,37,370,Pasquotank County,139,1390,"Pasquotank County, North Carolina",55091,3046
G3701410,2008-2012,North Carolina,37,370,Pender County,141,1410,"Pender County, North Carolina",52897,4065
G3701430,2008-2012,North Carolina,37,370,Perquimans County,143,1430,"Perquimans County, North Carolina",50730,4914
