GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALY3E001,ALY3E002,ALY3E003,ALY3E004,ALY3E005,ALY3E006,ALY3E007,NAME_M,ALY3M001,ALY3M002,ALY3M003,ALY3M004,ALY3M005,ALY3M006,ALY3M007
"G4804970","2015-2019","TX",,,"Texas","48","Wise County","497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48497",,,"Wise County, Texas",51986,31526,31526,30152,1374,0,20460,"Wise County, Texas",197,684,684,683,293,32,687
"G4804990","2015-2019","TX",,,"Texas","48","Wood County","499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48499",,,"Wood County, Texas",36679,17324,17324,16364,960,0,19355,"Wood County, Texas",175,715,715,706,217,29,725
"G4805010","2015-2019","TX",,,"Texas","48","Yoakum County","501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48501",,,"Yoakum County, Texas",6004,3783,3783,3617,166,0,2221,"Yoakum County, Texas",125,317,317,284,101,19,361
"G4805030","2015-2019","TX",,,"Texas","48","Young County","503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48503",,,"Young County, Texas",14125,8328,8306,8038,268,22,5797,"Young County, Texas",107,419,411,428,150,37,406
"G4805050","2015-2019","TX",,,"Texas","48","Zapata County","505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48505",,,"Zapata County, Texas",10027,5828,5828,5220,608,0,4199,"Zapata County, Texas",123,312,312,324,200,21,304
"G4805070","2015-2019","TX",,,"Texas","48","Zavala County","507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48507",,,"Zavala County, Texas",9004,4693,4693,4285,408,0,4311,"Zavala County, Texas",144,373,373,382,169,21,409
"G4900010","2015-2019","UT",,,"Utah","49","Beaver County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49001",,,"Beaver County, Utah",4623,2812,2812,2714,98,0,1811,"Beaver County, Utah",83,148,148,167,51,16,133
"G4900030","2015-2019","UT",,,"Utah","49","Box Elder County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49003",,,"Box Elder County, Utah",38572,24952,24942,23918,1024,10,13620,"Box Elder County, Utah",187,458,458,452,202,8,426
"G4900050","2015-2019","UT",,,"Utah","49","Cache County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49005",,,"Cache County, Utah",90220,62463,62433,60820,1613,30,27757,"Cache County, Utah",204,893,891,896,236,30,931
"G4900070","2015-2019","UT",,,"Utah","49","Carbon County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49007",,,"Carbon County, Utah",15615,9339,9331,8679,652,8,6276,"Carbon County, Utah",92,298,296,349,191,12,296
"G4900090","2015-2019","UT",,,"Utah","49","Daggett County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49009",,,"Daggett County, Utah",490,310,310,307,3,0,180,"Daggett County, Utah",128,112,112,112,6,11,46
"G4900110","2015-2019","UT",,,"Utah","49","Davis County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49011",,,"Davis County, Utah",245641,170889,168772,164139,4633,2117,74752,"Davis County, Utah",363,1294,1356,1469,574,311,1298
"G4900130","2015-2019","UT",,,"Utah","49","Duchesne County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49013",,,"Duchesne County, Utah",13973,8698,8698,8129,569,0,5275,"Duchesne County, Utah",72,212,212,227,105,21,241
